X: (s),Y: (Hits)
1.19065e-05,0
1.19078e-05,0
1.19091e-05,0
1.19103e-05,0
1.19116e-05,0
1.19129e-05,0
1.19141e-05,0
1.19154e-05,0
1.19166e-05,0
1.19179e-05,0
1.19192e-05,0
1.19204e-05,0
1.19217e-05,0
1.1923e-05,0
1.19242e-05,0
1.19255e-05,0
1.19268e-05,0
1.1928e-05,0
1.19293e-05,0
1.19305e-05,0
1.19318e-05,0
1.19331e-05,0
1.19343e-05,0
1.19356e-05,0
1.19369e-05,0
1.19381e-05,0
1.19394e-05,0
1.19407e-05,0
1.19419e-05,0
1.19432e-05,0
1.19445e-05,0
1.19457e-05,0
1.1947e-05,0
1.19482e-05,0
1.19495e-05,0
1.19508e-05,0
1.1952e-05,0
1.19533e-05,0
1.19546e-05,0
1.19558e-05,0
1.19571e-05,0
1.19584e-05,0
1.19596e-05,0
1.19609e-05,0
1.19621e-05,0
1.19634e-05,0
1.19647e-05,0
1.19659e-05,0
1.19672e-05,0
1.19685e-05,0
1.19697e-05,0
1.1971e-05,0
1.19723e-05,0
1.19735e-05,0
1.19748e-05,0
1.19761e-05,0
1.19773e-05,0
1.19786e-05,0
1.19798e-05,0
1.19811e-05,0
1.19824e-05,0
1.19836e-05,0
1.19849e-05,0
1.19862e-05,0
1.19874e-05,0
1.19887e-05,0
1.199e-05,0
1.19912e-05,0
1.19925e-05,0
1.19937e-05,0
1.1995e-05,0
1.19963e-05,0
1.19975e-05,0
1.19988e-05,0
1.20001e-05,0
1.20013e-05,0
1.20026e-05,0
1.20039e-05,0
1.20051e-05,0
1.20064e-05,0
1.20076e-05,0
1.20089e-05,0
1.20102e-05,0
1.20114e-05,0
1.20127e-05,0
1.2014e-05,0
1.20152e-05,0
1.20165e-05,0
1.20178e-05,0
1.2019e-05,0
1.20203e-05,0
1.20216e-05,0
1.20228e-05,0
1.20241e-05,0
1.20253e-05,0
1.20266e-05,0
1.20279e-05,0
1.20291e-05,0
1.20304e-05,0
1.20317e-05,0
1.20329e-05,0
1.20342e-05,0
1.20355e-05,0
1.20367e-05,0
1.2038e-05,0
1.20392e-05,0
1.20405e-05,0
1.20418e-05,0
1.2043e-05,0
1.20443e-05,0
1.20456e-05,0
1.20468e-05,0
1.20481e-05,0
1.20494e-05,0
1.20506e-05,0
1.20519e-05,0
1.20532e-05,0
1.20544e-05,0
1.20557e-05,0
1.20569e-05,0
1.20582e-05,0
1.20595e-05,0
1.20607e-05,0
1.2062e-05,0
1.20633e-05,0
1.20645e-05,0
1.20658e-05,0
1.20671e-05,0
1.20683e-05,0
1.20696e-05,0
1.20708e-05,0
1.20721e-05,0
1.20734e-05,0
1.20746e-05,0
1.20759e-05,0
1.20772e-05,0
1.20784e-05,0
1.20797e-05,0
1.2081e-05,0
1.20822e-05,0
1.20835e-05,0
1.20848e-05,0
1.2086e-05,0
1.20873e-05,0
1.20885e-05,0
1.20898e-05,0
1.20911e-05,0
1.20923e-05,0
1.20936e-05,0
1.20949e-05,0
1.20961e-05,0
1.20974e-05,0
1.20987e-05,0
1.20999e-05,0
1.21012e-05,0
1.21024e-05,0
1.21037e-05,0
1.2105e-05,0
1.21062e-05,0
1.21075e-05,0
1.21088e-05,0
1.211e-05,0
1.21113e-05,0
1.21126e-05,0
1.21138e-05,0
1.21151e-05,0
1.21164e-05,0
1.21176e-05,0
1.21189e-05,0
1.21201e-05,0
1.21214e-05,0
1.21227e-05,0
1.21239e-05,0
1.21252e-05,0
1.21265e-05,0
1.21277e-05,0
1.2129e-05,0
1.21303e-05,0
1.21315e-05,0
1.21328e-05,0
1.2134e-05,0
1.21353e-05,0
1.21366e-05,0
1.21378e-05,0
1.21391e-05,0
1.21404e-05,0
1.21416e-05,0
1.21429e-05,0
1.21442e-05,0
1.21454e-05,0
1.21467e-05,0
1.21479e-05,0
1.21492e-05,0
1.21505e-05,0
1.21517e-05,0
1.2153e-05,0
1.21543e-05,0
1.21555e-05,0
1.21568e-05,0
1.21581e-05,0
1.21593e-05,0
1.21606e-05,0
1.21619e-05,0
1.21631e-05,0
1.21644e-05,0
1.21656e-05,0
1.21669e-05,0
1.21682e-05,0
1.21694e-05,0
1.21707e-05,0
1.2172e-05,0
1.21732e-05,0
1.21745e-05,0
1.21758e-05,0
1.2177e-05,0
1.21783e-05,0
1.21795e-05,0
1.21808e-05,0
1.21821e-05,0
1.21833e-05,0
1.21846e-05,0
1.21859e-05,0
1.21871e-05,0
1.21884e-05,0
1.21897e-05,0
1.21909e-05,0
1.21922e-05,0
1.21935e-05,0
1.21947e-05,0
1.2196e-05,0
1.21972e-05,0
1.21985e-05,0
1.21998e-05,0
1.2201e-05,0
1.22023e-05,0
1.22036e-05,0
1.22048e-05,0
1.22061e-05,0
1.22074e-05,0
1.22086e-05,0
1.22099e-05,0
1.22111e-05,0
1.22124e-05,0
1.22137e-05,0
1.22149e-05,0
1.22162e-05,0
1.22175e-05,0
