X: (s),Y: (Hits)
2.64029e-05,0
2.64057e-05,0
2.64084e-05,0
2.64112e-05,0
2.6414e-05,0
2.64167e-05,0
2.64195e-05,0
2.64223e-05,0
2.6425e-05,0
2.64278e-05,0
2.64306e-05,0
2.64333e-05,0
2.64361e-05,0
2.64388e-05,0
2.64416e-05,0
2.64444e-05,0
2.64471e-05,0
2.64499e-05,0
2.64527e-05,0
2.64554e-05,0
2.64582e-05,0
2.6461e-05,0
2.64637e-05,0
2.64665e-05,0
2.64693e-05,0
2.6472e-05,0
2.64748e-05,0
2.64776e-05,0
2.64803e-05,0
2.64831e-05,0
2.64859e-05,0
2.64886e-05,0
2.64914e-05,0
2.64942e-05,0
2.64969e-05,0
2.64997e-05,0
2.65025e-05,0
2.65052e-05,0
2.6508e-05,0
2.65107e-05,0
2.65135e-05,0
2.65163e-05,0
2.6519e-05,0
2.65218e-05,0
2.65246e-05,0
2.65273e-05,0
2.65301e-05,0
2.65329e-05,0
2.65356e-05,0
2.65384e-05,0
2.65412e-05,0
2.65439e-05,0
2.65467e-05,0
2.65495e-05,0
2.65522e-05,0
2.6555e-05,0
2.65578e-05,0
2.65605e-05,0
2.65633e-05,0
2.65661e-05,0
2.65688e-05,0
2.65716e-05,0
2.65743e-05,0
2.65771e-05,0
2.65799e-05,0
2.65826e-05,0
2.65854e-05,0
2.65882e-05,0
2.65909e-05,0
2.65937e-05,0
2.65965e-05,0
2.65992e-05,0
2.6602e-05,0
2.66048e-05,0
2.66075e-05,0
2.66103e-05,0
2.66131e-05,0
2.66158e-05,0
2.66186e-05,0
2.66214e-05,0
2.66241e-05,0
2.66269e-05,0
2.66297e-05,0
2.66324e-05,0
2.66352e-05,0
2.66379e-05,0
2.66407e-05,0
2.66435e-05,0
2.66462e-05,0
2.6649e-05,0
2.66518e-05,0
2.66545e-05,0
2.66573e-05,0
2.66601e-05,0
2.66628e-05,0
2.66656e-05,0
2.66684e-05,0
2.66711e-05,0
2.66739e-05,0
2.66767e-05,0
2.66794e-05,0
2.66822e-05,0
2.6685e-05,0
2.66877e-05,0
2.66905e-05,0
2.66933e-05,0
2.6696e-05,0
2.66988e-05,0
2.67016e-05,0
2.67043e-05,0
2.67071e-05,0
2.67098e-05,0
2.67126e-05,0
2.67154e-05,0
2.67181e-05,0
2.67209e-05,0
2.67237e-05,0
2.67264e-05,0
2.67292e-05,0
2.6732e-05,0
2.67347e-05,0
2.67375e-05,0
2.67403e-05,0
2.6743e-05,0
2.67458e-05,0
2.67486e-05,0
2.67513e-05,0
2.67541e-05,0
2.67569e-05,0
2.67596e-05,0
2.67624e-05,0
2.67652e-05,0
2.67679e-05,0
2.67707e-05,0
2.67734e-05,0
2.67762e-05,0
2.6779e-05,0
2.67817e-05,0
2.67845e-05,0
2.67873e-05,0
2.679e-05,0
2.67928e-05,0
2.67956e-05,0
2.67983e-05,0
2.68011e-05,0
2.68039e-05,0
2.68066e-05,0
2.68094e-05,0
2.68122e-05,0
2.68149e-05,0
2.68177e-05,0
2.68205e-05,0
2.68232e-05,0
2.6826e-05,0
2.68288e-05,0
2.68315e-05,0
2.68343e-05,0
2.6837e-05,0
2.68398e-05,0
2.68426e-05,0
2.68453e-05,0
2.68481e-05,0
2.68509e-05,0
2.68536e-05,0
2.68564e-05,0
2.68592e-05,0
2.68619e-05,0
2.68647e-05,0
2.68675e-05,0
2.68702e-05,0
2.6873e-05,0
2.68758e-05,0
2.68785e-05,0
2.68813e-05,0
