X: (s),Y: (Hits)
8.63739e-05,0
8.66424e-05,0
8.69109e-05,0
8.71794e-05,0
8.74479e-05,0
8.77164e-05,0
8.79848e-05,0
8.82533e-05,0
8.85218e-05,0
8.87903e-05,0
8.90588e-05,0
8.93273e-05,0
8.95958e-05,0
8.98643e-05,0
9.01328e-05,0
9.04013e-05,0
9.06697e-05,0
9.09382e-05,0
9.12067e-05,0
9.14752e-05,0
9.17437e-05,0
9.20122e-05,0
9.22807e-05,0
9.25492e-05,0
9.28177e-05,0
9.30862e-05,0
9.33546e-05,0
9.36231e-05,0
9.38916e-05,0
9.41601e-05,0
9.44286e-05,0
9.46971e-05,0
9.49656e-05,0
9.52341e-05,0
9.55026e-05,0
9.57711e-05,0
9.60395e-05,0
9.6308e-05,0
9.65765e-05,0
9.6845e-05,0
9.71135e-05,0
9.7382e-05,0
9.76505e-05,0
9.7919e-05,0
9.81875e-05,0
9.8456e-05,0
9.87244e-05,0
9.89929e-05,0
9.92614e-05,0
9.95299e-05,0
9.97984e-05,0
0.000100067,0
0.000100335,0
0.000100604,0
0.000100872,0
0.000101141,0
0.000101409,0
0.000101678,0
0.000101946,0
0.000102215,0
0.000102483,0
0.000102752,0
0.00010302,0
0.000103289,0
0.000103557,0
0.000103826,0
0.000104094,0
0.000104363,0
0.000104631,0
0.0001049,0
0.000105168,0
0.000105437,0
0.000105705,0
0.000105974,10
0.000106242,68
0.000106511,0
0.000106779,0
0.000107048,0
0.000107316,0
0.000107585,0
0.000107853,0
0.000108122,0
0.00010839,0
0.000108659,0
0.000108927,0
0.000109196,0
0.000109464,0
0.000109733,0
0.000110001,0
0.00011027,0
0.000110538,0
0.000110807,0
0.000111075,0
0.000111343,0
0.000111612,0
0.00011188,0
0.000112149,0
0.000112417,0
0.000112686,0
0.000112954,0
0.000113223,0
0.000113491,0
0.00011376,0
0.000114028,0
0.000114297,0
0.000114565,0
0.000114834,0
0.000115102,3
0.000115371,13
0.000115639,0
0.000115908,0
0.000116176,0
0.000116445,0
0.000116713,0
0.000116982,0
0.00011725,0
0.000117519,0
0.000117787,0
0.000118056,0
0.000118324,0
0.000118593,0
0.000118861,0
0.00011913,0
0.000119398,0
0.000119667,0
0.000119935,0
0.000120204,0
0.000120472,0
0.000120741,0
0.000121009,0
0.000121278,0
0.000121546,0
0.000121815,0
0.000122083,0
0.000122352,0
0.00012262,0
0.000122889,0
0.000123157,0
0.000123426,0
0.000123694,0
0.000123963,0
0.000124231,0
0.000124499,0
0.000124768,0
0.000125036,0
0.000125305,0
0.000125573,0
0.000125842,0
0.00012611,0
0.000126379,1
0.000126647,0
0.000126916,0
0.000127184,0
0.000127453,0
0.000127721,0
0.00012799,0
0.000128258,0
0.000128527,0
0.000128795,0
0.000129064,0
0.000129332,0
0.000129601,0
0.000129869,0
0.000130138,0
0.000130406,0
0.000130675,0
0.000130943,0
0.000131212,0
0.00013148,0
0.000131749,0
0.000132017,0
0.000132286,0
0.000132554,0
0.000132823,0
0.000133091,0
0.00013336,0
0.000133628,0
0.000133897,0
0.000134165,0
0.000134434,0
0.000134702,0
0.000134971,0
0.000135239,0
0.000135508,0
0.000135776,0
0.000136045,0
0.000136313,0
0.000136582,0
0.00013685,0
0.000137119,0
0.000137387,0
0.000137656,0
