X: (s),Y: (Hits)
1.30031e-05,0
1.30174e-05,0
1.30317e-05,0
1.30461e-05,0
1.30604e-05,0
1.30747e-05,0
1.3089e-05,0
1.31033e-05,0
1.31176e-05,0
1.31319e-05,0
1.31462e-05,0
1.31606e-05,0
1.31749e-05,0
1.31892e-05,0
1.32035e-05,0
1.32178e-05,0
1.32321e-05,0
1.32464e-05,0
1.32607e-05,0
1.3275e-05,0
1.32894e-05,0
1.33037e-05,0
1.3318e-05,0
1.33323e-05,0
1.33466e-05,0
1.33609e-05,0
1.33752e-05,0
1.33895e-05,0
1.34039e-05,0
1.34182e-05,0
1.34325e-05,0
1.34468e-05,0
1.34611e-05,0
1.34754e-05,0
1.34897e-05,0
1.3504e-05,0
1.35184e-05,0
1.35327e-05,0
1.3547e-05,0
1.35613e-05,0
1.35756e-05,0
1.35899e-05,0
1.36042e-05,0
1.36185e-05,0
1.36328e-05,0
1.36472e-05,0
1.36615e-05,0
1.36758e-05,0
1.36901e-05,0
1.37044e-05,0
1.37187e-05,0
1.3733e-05,0
1.37473e-05,0
1.37617e-05,0
1.3776e-05,0
1.37903e-05,0
1.38046e-05,0
1.38189e-05,0
1.38332e-05,0
1.38475e-05,0
1.38618e-05,0
1.38762e-05,0
1.38905e-05,0
1.39048e-05,0
1.39191e-05,0
1.39334e-05,0
1.39477e-05,0
1.3962e-05,0
1.39763e-05,0
1.39906e-05,0
1.4005e-05,0
1.40193e-05,0
1.40336e-05,0
1.40479e-05,0
1.40622e-05,0
1.40765e-05,0
1.40908e-05,0
1.41051e-05,0
1.41195e-05,0
1.41338e-05,0
1.41481e-05,0
1.41624e-05,0
1.41767e-05,0
1.4191e-05,0
1.42053e-05,0
1.42196e-05,0
1.4234e-05,0
1.42483e-05,0
1.42626e-05,0
1.42769e-05,0
1.42912e-05,0
1.43055e-05,730
1.43198e-05,131
1.43341e-05,0
1.43484e-05,0
1.43628e-05,0
1.43771e-05,0
1.43914e-05,0
1.44057e-05,0
1.442e-05,0
1.44343e-05,0
1.44486e-05,0
1.44629e-05,0
1.44773e-05,0
1.44916e-05,0
1.45059e-05,0
1.45202e-05,0
1.45345e-05,0
1.45488e-05,0
1.45631e-05,0
1.45774e-05,0
1.45917e-05,0
1.46061e-05,0
1.46204e-05,0
1.46347e-05,0
1.4649e-05,0
1.46633e-05,0
1.46776e-05,0
1.46919e-05,0
1.47062e-05,0
1.47206e-05,0
1.47349e-05,0
1.47492e-05,0
1.47635e-05,0
1.47778e-05,0
1.47921e-05,0
1.48064e-05,0
1.48207e-05,0
1.48351e-05,0
1.48494e-05,0
1.48637e-05,0
1.4878e-05,0
1.48923e-05,0
1.49066e-05,0
1.49209e-05,0
1.49352e-05,0
1.49495e-05,0
1.49639e-05,0
1.49782e-05,0
1.49925e-05,0
1.50068e-05,0
1.50211e-05,0
1.50354e-05,0
1.50497e-05,0
1.5064e-05,0
1.50784e-05,0
1.50927e-05,0
1.5107e-05,0
1.51213e-05,0
1.51356e-05,0
1.51499e-05,0
1.51642e-05,0
1.51785e-05,0
1.51929e-05,0
1.52072e-05,0
1.52215e-05,0
1.52358e-05,0
1.52501e-05,0
1.52644e-05,0
1.52787e-05,0
1.5293e-05,0
1.53073e-05,0
1.53217e-05,0
1.5336e-05,0
1.53503e-05,0
1.53646e-05,0
1.53789e-05,0
1.53932e-05,0
1.54075e-05,0
1.54218e-05,0
1.54362e-05,0
1.54505e-05,0
1.54648e-05,0
1.54791e-05,0
1.54934e-05,0
1.55077e-05,0
1.5522e-05,0
1.55363e-05,0
1.55506e-05,0
1.5565e-05,0
1.55793e-05,0
1.55936e-05,0
1.56079e-05,0
1.56222e-05,0
1.56365e-05,0
1.56508e-05,0
1.56651e-05,0
1.56795e-05,0
1.56938e-05,0
1.57081e-05,0
1.57224e-05,0
1.57367e-05,0
1.5751e-05,0
1.57653e-05,0
1.57796e-05,0
1.5794e-05,0
1.58083e-05,0
1.58226e-05,0
1.58369e-05,0
1.58512e-05,0
1.58655e-05,0
1.58798e-05,0
1.58941e-05,0
1.59084e-05,0
1.59228e-05,0
1.59371e-05,0
1.59514e-05,0
1.59657e-05,0
1.598e-05,0
1.59943e-05,0
1.60086e-05,0
1.60229e-05,0
1.60373e-05,0
1.60516e-05,0
1.60659e-05,0
1.60802e-05,0
1.60945e-05,0
1.61088e-05,0
1.61231e-05,0
1.61374e-05,0
1.61518e-05,0
1.61661e-05,0
1.61804e-05,0
1.61947e-05,0
1.6209e-05,0
1.62233e-05,0
1.62376e-05,0
1.62519e-05,0
1.62662e-05,0
1.62806e-05,0
1.62949e-05,0
1.63092e-05,0
1.63235e-05,0
1.63378e-05,0
1.63521e-05,0
1.63664e-05,0
1.63807e-05,0
1.63951e-05,0
1.64094e-05,0
1.64237e-05,0
1.6438e-05,0
1.64523e-05,0
1.64666e-05,0
1.64809e-05,0
1.64952e-05,0
1.65096e-05,0
1.65239e-05,0
1.65382e-05,0
1.65525e-05,0
1.65668e-05,0
1.65811e-05,0
1.65954e-05,0
1.66097e-05,0
1.6624e-05,0
1.66384e-05,0
1.66527e-05,0
1.6667e-05,0
1.66813e-05,0
1.66956e-05,0
1.67099e-05,0
1.67242e-05,0
1.67385e-05,0
1.67529e-05,0
1.67672e-05,0
